id;due_at;status;kind;created_at;done_at
1;2026-01-13T11:19:02;PENDING;WEEK_1;2026-01-13T17:22:57;2026-01-13T17:25:46
2;2026-01-13T04:58:49;DONE;MONTH_3;2026-01-13T07:08:31;2026-01-13T04:31:57
3;2026-01-13T08:51:32;DONE;WEEK_1;2026-01-13T05:40:22;2026-01-13T01:59:53
4;2026-01-13T02:19:44;PENDING;WEEK_1;2026-01-13T17:50:26;2026-01-13T17:51:37
5;2026-01-13T18:57:53;SKIPPED;MONTH_3;2026-01-13T08:55:11;2026-01-13T12:58:18
6;2026-01-13T18:28:12;SKIPPED;WEEK_3;2026-01-13T12:10:07;2026-01-13T00:09:39
7;2026-01-13T13:39:29;DONE;MONTH_3;2026-01-13T16:03:30;2026-01-13T01:26:18
8;2026-01-13T04:22:09;SKIPPED;WEEK_3;2026-01-13T12:10:13;2026-01-13T18:12:12
9;2026-01-13T01:22:01;SKIPPED;WEEK_3;2026-01-12T21:23:08;2026-01-13T17:47:13
10;2026-01-13T19:31:12;DONE;MONTH_3;2026-01-13T02:15:04;2026-01-13T07:38:26
